ID,COORDS_X,COORDS_Y,AGE,BEDROOMS,HOUSESIZE,LOTSIZE,INQUALITY,PARKING,DISTAMEN,DISTCBD,PROXAMEN,DFLOOD100,PRICE_REGR,YEAR
194847,179493,316808,49,4,140,0.688,7,1,2296.95,3313.18,1442.64,0,329290,2005
194848,176572,317275,100,7,170,2.09,7,0,224.3,726.08,3515.28,0,367285,2005
197496,176120,316642,53,1,160,0.688,7,0,662.64,1364.43,3076.94,0,444326,2004
198034,178681,314639,42,7,165,0.344,7,1,1307.66,4047.94,2431.93,0,294461,2005
198175,179593,319053,22,1,125,2.445,7,0,2613.01,3374.94,1126.58,0,264020,2004
199171,177842,314777,27,8,180,0.344,9,1,556.42,3514.09,3183.17,0,483735,2004
199481,179573,317549,34,8,175,0.59,9,1,2550.19,3208.35,1189.39,0,509766,2005
199567,179011,315388,42,4,100,0.688,7,0,1787.76,3682.77,1951.83,0,235042,2004
199694,178797,316950,65,7,130,1.039,7,1,1657.27,2614.39,2082.32,0,227970,2005
200520,174246,319863,48,6,100,1.037,9,1,1685.94,2856.75,2053.65,0,309096,2004
202249,178839,318050,20,6,140,0.836,7,1,2001.34,2446.5,1738.25,0,386283,2005
202520,178819,317417,62,7,93,0.688,6,0,1785.47,2489.68,1954.11,0,198207,2005
202706,178476,315436,40,5,120,0.344,8,0,1271.79,3286.65,2467.79,0,231822,2004
204914,178908,317563,54,6,160,12.44,7,1,1907.37,2548.61,1832.21,0,310126,2004
208213,177766,317136,100,7,140,0.309,4,0,697.19,1610.61,3042.39,0,199625,2004
208923,176531,316436,53,1,155,1.007,3,0,226.28,1548.86,3513.31,0,347733,2004
209351,178629,314950,37,7,125,0.95,9,0,1358.11,3764.33,2381.47,0,228602,2004
209568,179070,318880,22,1,145,0.344,7,1,2114.12,2824.1,1625.46,0,392810,2004
210548,179536,316911,46,8,165,0.848,9,1,2359.17,3318.89,1380.42,0,354173,2004
210655,178826,315816,39,4,130,0.344,7,1,1691.14,3254.88,2048.45,0,222271,2005
210672,175448,316883,90,1,135,0.344,7,0,1371.98,1447.23,2367.6,0,348288,2005
211082,177693,315062,29,5,88,4.26,9,0,436,3193.08,3303.58,0,221638,2005
212163,174368,319516,22,4,159,0.467,9,0,1746,2542.61,1993.59,0,210470,2006
212235,175565,317844,53,1,190,0.344,7,0,1078.81,839.3,2660.77,0,450765,2004
212935,177507,317014,55,6,111,0.344,6,0,421.88,1473.33,3317.71,0,209284,2004
215338,173319,316822,53,1,129,0.991,7,0,3461.21,3284.73,278.37,0,225383,2004
215343,179355,317107,22,1,162,0.344,7,1,2236.16,3087.09,1503.42,0,346445,2004
215811,175020,318635,85,9,190,0.344,7,1,1600.81,1522.08,2138.77,0,411613,2005
216558,178973,315095,42,5,100,1.56,7,0,1709.88,3869.01,2029.7,0,212139,2005
217670,175820,318048,100,6,95,9.03,7,0,812.79,577.57,2926.79,0,256292,2004
217673,177565,315380,52,7,125,0.482,7,1,364.54,2850.56,3375.04,0,281406,2004
218263,178495,315968,39,5,130,0.344,7,1,1329.6,2908.47,2409.99,0,235686,2004
219255,175936,318233,100,4,90,0.356,9,0,713.35,523.3,3026.24,0,240837,2004
219783,178629,316085,39,4,128,0.344,6,1,1431.56,2929.77,2308.03,0,212504,2004
219785,178826,315816,39,5,128,2.19,7,1,1691.14,3254.88,2048.45,0,206708,2004
223080,178636,317925,20,7,130,1.03,7,1,1770.34,2243.12,1969.25,0,349021,2004
223205,178202,317626,90,5,110,0.97,7,0,1258.61,1842.58,2480.97,0,217011,2004
223626,177769,315009,29,4,85,0.976,7,0,502.87,3272.77,3236.71,0,231136,2005
227502,178648,316020,39,5,115,1.175,5,1,1464.03,2986.51,2275.55,0,207996,2004
229174,173215,317002,53,1,125,1.535,3,0,3536.82,3325.01,202.77,0,209284,2004
229814,175060,318075,65,7,110,0.688,7,0,1573.27,1336.85,2166.31,0,238262,2004
231002,176473,316392,63,1,50,0.959,7,0,279.53,1588.74,3460.06,0,592434,2004
231294,177786,315099,29,4,75,6,7,0,533.66,3198.7,3205.93,0,221638,2005
232007,175972,316647,63,12,190,1.898,7,0,808.93,1396.84,2930.65,0,350953,2004
232053,177442,322899,53,1,140,0.734,5,1,758.2,5030.51,2981.39,1,239369,2005
232744,173010,317420,17,4,225,0.462,9,1,3667.7,3429.13,71.88,0,630084,2005
236864,176147,316699,87,1,200,0.97,7,0,649.34,1303.26,3090.24,0,482963,2004
237532,179338,319515,81,12,200,0.854,7,0,2329.14,3321.07,1410.44,0,433776,2005
239279,176057,316684,85,1,190,0.306,7,0,733.41,1337.75,3006.17,0,405280,2005
241229,173337,317280,24,1,85,5.77,7,0,3365.94,3135.18,373.64,0,213791,2004
241821,178629,316085,39,5,128,0.982,7,1,1431.56,2929.77,2308.03,0,215305,2005
242927,178105,319276,33,5,86,0.392,5,0,1108.47,2147.51,2631.12,0,157768,2004
244052,176079,321397,53,1,120,0.669,7,1,347.84,3432.5,3391.74,1,217655,2004
244093,174462,317361,56,5,100,9.54,7,0,2243.59,2027.76,1495.99,0,227970,2005
245014,175972,316647,63,8,150,0.359,7,1,808.93,1396.84,2930.65,0,351454,2005
245210,179394,319053,23,6,100,9.52,7,1,2415.96,3186.92,1323.62,0,341294,2004
245740,173386,317291,25,5,120,0.459,9,1,3315.78,3084.96,423.8,0,322958,2005
246684,178838,315003,38,5,100,0.475,5,0,1569.99,3850.98,2169.6,0,184814,2004
246717,177219,318082,95,1,150,0.463,5,0,392.47,831.96,3347.11,0,297628,2005
246817,175104,317972,85,1,140,0.321,5,0,1528.76,1289.4,2210.83,0,318111,2004
247003,178578,317414,53,1,145,0.97,7,1,1550.06,2256.31,2189.52,0,322958,2005
247064,178980,317264,60,2,150,0.436,7,1,1915.47,2683.41,1824.11,0,303960,2005
247447,177592,323030,50,6,141,0.971,7,1,863.47,5191.26,2876.11,1,246968,2005
248051,178717,315397,53,1,125,1.84,7,0,1501.78,3473.28,2237.81,0,214435,2004
248500,178512,318070,30,4,105,1.205,6,0,1677.92,2120.44,2061.66,0,185542,2005
251255,179653,318804,53,1,150,0.459,9,1,2701.93,3362.26,1037.66,0,493935,2005
252152,175913,321068,90,1,200,0.584,5,0,131.57,3126.21,3608.02,1,286229,2005
252956,178497,315195,38,8,100,0.459,9,0,1250.37,3489.06,2489.21,0,231136,2005
